(All),id_produit,catégorie,prix,weight_g,length_cm,height_cm,width_cm,(All),mois,trimestre,annee,moyenne chiffre d'affaire,chiffre d'affaire,nombre de ventes,
,,,,,,,,,,,2019,"7 410,857",51 876,7,
,,,,,,,,,5,2,2017,7 205,79 255,11,
,,,,,,,,,,,2018,"7 325,083",87 901,12,
,,,,,,,,,,,2019,"9 160,643",128 249,14,
,,,,,,,,,6,2,2017,"2 161,5",4 323,2,
,,,,,,,,,,,2018,"7 385,125",59 081,8,
,,,,,,,,,,,2019,5 764,23 056,4,
,,,,,,,,,,3,2017,12 969,12 969,1,
,,,,,,,,,,,2018,"6 724,667",20 174,3,
,,,,,,,,,,,2019,12 969,12 969,1,
,,,,,,,,,7,3,2017,"5 944,125",47 553,8,
,,,,,,,,,,,2018,"6 484,5",64 845,10,
,,,,,,,,,,,2019,"7 822,571",54 758,7,
,,,,,,,,,8,3,2017,"8 815,529",149 864,17,
,,,,,,,,,,,2018,"7 315,846",95 106,13,
,,,,,,,,,,,2019,6 157,67 727,11,
,,,,,,,,,9,3,2017,"7 822,571",54 758,7,
,,,,,,,,,,,2018,"8 806,111",79 255,9,
,,,,,,,,,,,2019,"8 285,75",33 143,4,
,,,,,,,,,,4,2017,"11 047,667",33 143,3,
,,,,,,,,,,,2018,7 205,14 410,2,
,,,,,,,,,,,2019,"6 724,667",40 348,6,
,,,,,,,,,10,4,2017,"8 234,286",57 640,7,
,,,,,,,,,,,2018,"6 884,778",61 963,9,
,,,,,,,,,,,2019,"8 748,929",122 485,14,
,,,,,,,,,11,4,2017,7 205,57 640,8,
,,,,,,,,,,,2018,"8 234,286",115 280,14,
,,,,,,,,,,,2019,"7 349,1",73 491,10,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"8 105,625",64 845,8,
,,,,,,,,,,,2018,"7 325,083",87 901,12,
,,,,,,,,,,,2019,11 528,11 528,1,
,26,watches_gifts,489,250,16,11,11,All Dates,1,1,2018,"2 675,118",45 477,17,
,,,,,,,,,,,2019,"2 885,1",28 851,10,
,,,,,,,,,2,1,2018,2 445,17 115,7,
,,,,,,,,,,,2019,"2 222,727",24 450,11,
,,,,,,,,,3,1,2018,"1 369,2",6 846,5,
,,,,,,,,,,,2019,"2 249,4",11 247,5,
,,,,,,,,,,2,2018,2 445,2 445,1,
,,,,,,,,,,,2019,2 445,4 890,2,
,,,,,,,,,4,2,2018,"2 485,75",29 829,12,
,,,,,,,,,,,2019,"1 397,143",9 780,7,
,,,,,,,,,5,2,2017,"2 261,625",18 093,8,
,,,,,,,,,,,2018,"2 783,539",36 186,13,
,,,,,,,,,,,2019,"2 703,882",45 966,17,
,,,,,,,,,6,2,2017,"2 995,125",23 961,8,
,,,,,,,,,,,2018,"2 738,4",27 384,10,
,,,,,,,,,,,2019,"1 990,929",27 873,14,
,,,,,,,,,,3,2017,,,,
,,,,,,,,,,,2018,"2 200,5",4 401,2,
,,,,,,,,,,,2019,"2 322,75",9 291,4,
,,,,,,,,,7,3,2017,"2 689,5",43 032,16,
,,,,,,,,,,,2018,"3 151,333",28 362,9,
,,,,,,,,,,,2019,"1 858,2",18 582,10,
,,,,,,,,,8,3,2017,"1 738,667",15 648,9,
,,,,,,,,,,,2018,"2 580,833",46 455,18,
,,,,,,,,,,,2019,"3 056,25",12 225,4,
,,,,,,,,,9,3,2017,"2 868,8",43 032,15,
,,,,,,,,,,,2018,"2 654,571",18 582,7,
,,,,,,,,,,,2019,"3 227,4",16 137,5,
,,,,,,,,,,4,2017,"2 738,4",13 692,5,
,,,,,,,,,,,2018,2 934,5 868,2,
,,,,,,,,,,,2019,"2 200,5",8 802,4,
,,,,,,,,,10,4,2017,"2 689,5",21 516,8,
,,,,,,,,,,,2018,2 445,26 895,11,
,,,,,,,,,,,2019,"1 684,333",15 159,9,
,,,,,,,,,11,4,2017,2 934,20 538,7,
,,,,,,,,,,,2018,1 956,23 472,12,
,,,,,,,,,,,2019,"2 363,5",28 362,12,
,,,,,,,,,12,1,2017,2 934,2 934,1,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"2 089,364",22 983,11,
,,,,,,,,,,,2018,"2 493,9",24 939,10,
,,,,,,,,,,,2019,"1 711,5",3 423,2,
,27,construction_tools_construction,339,4800,25,8,25,All Dates,1,1,2018,"1 549,714",10 848,7,
,,,,,,,,,,,2019,"1 457,7",14 577,10,
,,,,,,,,,2,1,2018,"1 228,875",9 831,8,
,,,,,,,,,,,2019,"1 610,25",12 882,8,
,,,,,,,,,3,1,2018,"1 259,143",8 814,7,
,,,,,,,,,,,2019,"1 751,5",10 509,6,
,,,,,,,,,,2,2018,2 034,2 034,1,
,,,,,,,,,,,2019,"1 423,8",7 119,5,
,,,,,,,,,4,2,2018,"1 423,8",14 238,10,
,,,,,,,,,,,2019,1 695,5 085,3,
,,,,,,,,,5,2,2017,1 695,13 560,8,




,,,,,,,,,,,2018,"1 610,25",12 882,8,
,,,,,,,,,,,2019,"1 610,25",12 882,8,
,,,,,,,,,6,2,2017,1 921,11 526,6,
,,,,,,,,,,,2018,1 017,3 051,3,
,,,,,,,,,,,2019,1 808,21 696,12,
,,,,,,,,,,3,2017,1 921,5 763,3,
,,,,,,,,,,,2018,2 034,8 136,4,
,,,,,,,,,,,2019,1 243,3 729,3,
,,,,,,,,,7,3,2017,"1 949,25",23 391,12,
,,,,,,,,,,,2018,"1 910,727",21 018,11,
,,,,,,,,,,,2019,"1 525,5",15 255,10,
,,,,,,,,,8,3,2017,"1 672,4",25 086,15,
,,,,,,,,,,,2018,"1 816,071",25 425,14,
,,,,,,,,,,,2019,"1 610,25",19 323,12,
,,,,,,,,,9,3,2017,"1 627,2",16 272,10,
,,,,,,,,,,,2018,"1 210,714",8 475,7,
,,,,,,,,,,,2019,"1 431,333",12 882,9,
,,,,,,,,,,4,2017,1 017,2 034,2,
,,,,,,,,,,,2018,"1 525,5",6 102,4,
,,,,,,,,,,,2019,"1 271,25",5 085,4,
,,,,,,,,,10,4,2017,1 356,5 424,4,
,,,,,,,,,,,2018,"1 719,214",24 069,14,
,,,,,,,,,,,2019,"1 510,091",16 611,11,
,,,,,,,,,11,4,2017,"1 743,429",12 204,7,
,,,,,,,,,,,2018,"1 271,25",10 170,8,
,,,,,,,,,,,2019,"1 864,5",18 645,10,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"1 723,25",20 679,12,
,,,,,,,,,,,2018,"1 460,308",18 984,13,
,,,,,,,,,,,2019,1 017,2 034,2,
,28,pet_shop,463,700,40,20,20,All Dates,1,1,2018,"2 483,364",27 317,11,
,,,,,,,,,,,2019,"1 157,5",6 945,6,
,,,,,,,,,2,1,2018,"1 697,667",15 279,9,
,,,,,,,,,,,2019,"2 662,25",21 298,8,
,,,,,,,,,3,1,2018,"2 932,333",8 797,3,
,,,,,,,,,,,2019,"2 893,75",23 150,8,
,,,,,,,,,,2,2018,1 389,2 778,2,
,,,,,,,,,,,2019,"2 083,5",4 167,2,
,,,,,,,,,4,2,2018,2 315,27 780,12,
,,,,,,,,,,,2019,"1 620,5",3 241,2,
,,,,,,,,,5,2,2017,"2 083,5",16 668,8,
,,,,,,,,,,,2018,"1 918,143",13 427,7,
,,,,,,,,,,,2019,2 778,19 446,7,
,,,,,,,,,6,2,2017,"2 623,667",15 742,6,
,,,,,,,,,,,2018,"3 055,8",15 279,5,
,,,,,,,,,,,2019,2 778,36 114,13,
,,,,,,,,,,3,2017,,,,
,,,,,,,,,,,2018,"3 472,5",6 945,2,
,,,,,,,,,,,2019,2 778,8 334,3,
,,,,,,,,,7,3,2017,"2 855,167",17 131,6,
,,,,,,,,,,,2018,"1 749,111",15 742,9,
,,,,,,,,,,,2019,"1 978,273",21 761,11,
,,,,,,,,,8,3,2017,"1 794,125",14 353,8,
,,,,,,,,,,,2018,"2 199,25",26 391,12,
,,,,,,,,,,,2019,"2 546,5",10 186,4,
,,,,,,,,,9,3,2017,"3 086,667",18 520,6,
,,,,,,,,,,,2018,926,4 630,5,
,,,,,,,,,,,2019,"1 697,667",5 093,3,
,,,,,,,,,,4,2017,"2 160,667",6 482,3,
,,,,,,,,,,,2018,2 778,5 556,2,
,,,,,,,,,,,2019,"2 469,333",7 408,3,
,,,,,,,,,10,4,2017,2 315,23 150,10,
,,,,,,,,,,,2018,"2 212,111",19 909,9,
,,,,,,,,,,,2019,"2 199,25",26 391,12,
,,,,,,,,,11,4,2017,"2 276,417",27 317,12,
,,,,,,,,,,,2018,2 315,23 150,10,
,,,,,,,,,,,2019,"2 253,267",33 799,15,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"2 604,375",20 835,8,
,,,,,,,,,,,2018,2 315,39 355,17,
,,,,,,,,,,,2019,2 778,13 890,5,
,29,small_appliances,587,350,20,20,20,All Dates,1,1,2018,"3 698,1",36 981,10,
,,,,,,,,,,,2019,"3 587,222",32 285,9,
,,,,,,,,,2,1,2018,"3 228,5",25 828,8,
,,,,,,,,,,,2019,"3 277,417",39 329,12,
,,,,,,,,,3,1,2018,"1 921,091",21 132,11,
,,,,,,,,,,,2019,"3 301,875",52 830,16,
,,,,,,,,,,2,2018,"4 500,333",13 501,3,
,,,,,,,,,,,2019,"3 717,667",11 153,3,
,,,,,,,,,4,2,2018,3 522,17 610,5,
,,,,,,,,,,,2019,"3 415,273",37 568,11,
,,,,,,,,,5,2,2017,"2 592,583",31 111,12,
,,,,,,,,,,,2018,"2 533,368",48 134,19,
,,,,,,,,,,,2019,"2 087,111",18 784,9,
,,,,,,,,,6,2,2017,2 935,32 285,11,
,,,,,,,,,,,2018,"3 169,8",15 849,5,
,,,,,,,,,,,2019,"2 861,625",22 893,8,
,,,,,,,,,,3,2017,"3 815,5",15 262,4,
,,,,,,,,,,,2018,4 696,4 696,1,
,,,,,,,,,,,2019,3 522,7 044,2,




,,,,,,,,,7,3,2017,"3 443,733",51 656,15,
,,,,,,,,,,,2018,"2 524,1",25 241,10,
,,,,,,,,,,,2019,2 935,41 090,14,
,,,,,,,,,8,3,2017,"3 179,583",38 155,12,
,,,,,,,,,,,2018,"3 130,667",56 352,18,
,,,,,,,,,,,2019,"3 756,8",37 568,10,
,,,,,,,,,9,3,2017,"1 006,286",7 044,7,
,,,,,,,,,,,2018,"3 668,75",29 350,8,
,,,,,,,,,,,2019,"2 767,286",19 371,7,
,,,,,,,,,,4,2017,1 174,2 348,2,
,,,,,,,,,,,2018,"880,5",1 761,2,
,,,,,,,,,,,2019,3 522,10 566,3,
,,,,,,,,,10,4,2017,2 935,17 610,6,
,,,,,,,,,,,2018,"2 431,857",17 023,7,
,,,,,,,,,,,2019,"2 674,111",24 067,9,
,,,,,,,,,11,4,2017,"2 478,444",22 306,9,
,,,,,,,,,,,2018,"2 274,625",18 197,8,
,,,,,,,,,,,2019,2 935,26 415,9,
,,,,,,,,,12,1,2017,2 935,2 935,1,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"2 983,917",35 807,12,
,,,,,,,,,,,2018,"1 257,857",8 805,7,
,,,,,,,,,,,2019,3 522,3 522,1,
,30,agro_industry_and_commerce,430,16400,63,66,56,All Dates,1,1,2018,"2 078,333",24 940,12,
,,,,,,,,,,,2019,"2 078,333",12 470,6,
,,,,,,,,,2,1,2018,"2 613,077",33 970,13,
,,,,,,,,,,,2019,2 150,12 900,6,
,,,,,,,,,3,1,2018,"1 827,5",7 310,4,
,,,,,,,,,,,2019,"2 006,667",6 020,3,
,,,,,,,,,,2,2018,"2 436,667",7 310,3,
,,,,,,,,,,,2019,2 150,4 300,2,
,,,,,,,,,4,2,2018,1 935,19 350,10,
,,,,,,,,,,,2019,"1 576,667",4 730,3,
,,,,,,,,,5,2,2017,2 064,41 280,20,
,,,,,,,,,,,2018,"1 911,111",34 400,18,
,,,,,,,,,,,2019,2 365,28 380,12,
,,,,,,,,,6,2,2017,"2 956,25",23 650,8,
,,,,,,,,,,,2018,"2 914,444",26 230,9,
,,,,,,,,,,,2019,"2 006,667",6 020,3,
,,,,,,,,,,3,2017,2 150,6 450,3,
,,,,,,,,,,,2018,"3 153,333",9 460,3,
,,,,,,,,,,,2019,1 505,3 010,2,
,,,,,,,,,7,3,2017,"2 395,714",33 540,14,
,,,,,,,,,,,2018,2 408,24 080,10,
,,,,,,,,,,,2019,"2 006,667",18 060,9,
,,,,,,,,,8,3,2017,"1 827,5",21 930,12,
,,,,,,,,,,,2018,"2 627,778",23 650,9,
,,,,,,,,,,,2019,2 236,22 360,10,
,,,,,,,,,9,3,2017,2 365,28 380,12,
,,,,,,,,,,,2018,"2 071,818",22 790,11,
,,,,,,,,,,,2019,"2 293,333",13 760,6,
,,,,,,,,,,4,2017,,,,
,,,,,,,,,,,2018,"1 003,333",3 010,3,
,,,,,,,,,,,2019,1 720,1 720,1,
,,,,,,,,,10,4,2017,"1 641,818",18 060,11,
,,,,,,,,,,,2018,"2 641,429",18 490,7,
,,,,,,,,,,,2019,2 580,28 380,11,
,,,,,,,,,11,4,2017,"2 197,778",19 780,9,
,,,,,,,,,,,2018,"2 078,333",24 940,12,
,,,,,,,,,,,2019,"2 400,833",28 810,12,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,3 440,6 880,2,
,,,,,,,,,,4,2017,"1 791,667",21 500,12,
,,,,,,,,,,,2018,2 580,30 960,12,
,,,,,,,,,,,2019,2 580,5 160,2,
,31,Series,650,17,14,12,,All Dates,1,1,2018,"3 017,857",42 250,14,
,,,,,,,,,,,2019,"3 342,857",23 400,7,
,,,,,,,,,2,1,2018,"2 816,667",33 800,12,
,,,,,,,,,,,2019,3 250,22 750,7,
,,,,,,,,,3,1,2018,2 600,31 200,12,
,,,,,,,,,,,2019,1 300,5 200,4,
,,,,,,,,,,2,2018,,,,
,,,,,,,,,,,2019,1 950,7 800,4,
,,,,,,,,,4,2,2018,"2 708,333",16 250,6,
,,,,,,,,,,,2019,2 665,26 650,10,
,,,,,,,,,5,2,2017,"4 636,667",69 550,15,
,,,,,,,,,,,2018,"3 959,091",43 550,11,
,,,,,,,,,,,2019,"3 322,222",29 900,9,
,,,,,,,,,6,2,2017,4 290,21 450,5,
,,,,,,,,,,,2018,2 600,15 600,6,
,,,,,,,,,,,2019,2 730,13 650,5,
,,,,,,,,,,3,2017,,,,
,,,,,,,,,,,2018,"3 791,667",22 750,6,
,,,,,,,,,,,2019,2 860,14 300,5,
,,,,,,,,,7,3,2017,"3 282,5",65 650,20,
,,,,,,,,,,,2018,3 150,40 950,13,
,,,,,,,,,,,2019,3 750,48 750,13,
,,,,,,,,,8,3,2017,3 250,22 750,7,
,,,,,,,,,,,2018,3 150,40 950,13,
,,,,,,,,,,,2019,2 470,12 350,5,
,,,,,,,,,9,3,2017,3 575,14 300,4,
,,,,,,,,,,,2018,"3 656,25",29 250,8,




,,,,,,,,,,,2019,"2 311,111",20 800,9,
,,,,,,,,,,4,2017,2 925,5 850,2,
,,,,,,,,,,,2018,"2 112,5",8 450,4,
,,,,,,,,,,,2019,,,,
,,,,,,,,,10,4,2017,"3 342,857",23 400,7,
,,,,,,,,,,,2018,"4 178,571",29 250,7,
,,,,,,,,,,,2019,2 850,37 050,13,
,,,,,,,,,11,4,2017,"2 816,667",16 900,6,
,,,,,,,,,,,2018,"2 708,333",16 250,6,
,,,,,,,,,,,2019,"4 136,364",45 500,11,
,,,,,,,,,12,1,2017,3 250,3 250,1,
,,,,,,,,,,,2018,4 550,4 550,1,
,,,,,,,,,,4,2017,3 250,29 250,9,
,,,,,,,,,,,2018,3 055,61 100,20,
,,,,,,,,,,,2019,5 200,5 200,1,
,32,furniture_living_room,312,6050,55,10,46,All Dates,1,1,2018,"1 123,2",5 616,5,
,,,,,,,,,,,2019,"1 786,909",19 656,11,
,,,,,,,,,2,1,2018,1 248,7 488,6,
,,,,,,,,,,,2019,1 794,14 352,8,
,,,,,,,,,3,1,2018,1 768,10 608,6,
,,,,,,,,,,,2019,1 352,8 112,6,
,,,,,,,,,,2,2018,1 352,4 056,3,
,,,,,,,,,,,2019,1 560,3 120,2,
,,,,,,,,,4,2,2018,2 028,24 336,12,
,,,,,,,,,,,2019,1 404,16 848,12,
,,,,,,,,,5,2,2017,"1 525,333",13 728,9,
,,,,,,,,,,,2018,"1 386,667",12 480,9,
,,,,,,,,,,,2019,"1 701,818",18 720,11,
,,,,,,,,,6,2,2017,"1 337,143",9 360,7,
,,,,,,,,,,,2018,1 456,8 736,6,
,,,,,,,,,,,2019,"998,4",4 992,5,
,,,,,,,,,,3,2017,1 352,4 056,3,
,,,,,,,,,,,2018,2 184,2 184,1,
,,,,,,,,,,,2019,1 040,3 120,3,
,,,,,,,,,7,3,2017,"1 515,429",21 216,14,
,,,,,,,,,,,2018,1 456,13 104,9,
,,,,,,,,,,,2019,1 222,14 664,12,
,,,,,,,,,8,3,2017,1 464,19 032,13,
,,,,,,,,,,,2018,1 664,14 976,9,
,,,,,,,,,,,2019,"1 106,182",12 168,11,
,,,,,,,,,9,3,2017,"1 684,8",8 424,5,
,,,,,,,,,,,2018,"1 738,286",12 168,7,
,,,,,,,,,,,2019,1 092,2 184,2,
,,,,,,,,,,4,2017,1 040,3 120,3,
,,,,,,,,,,,2018,1 248,1 248,1,
,,,,,,,,,,,2019,1 560,3 120,2,
,,,,,,,,,10,4,2017,"1 730,182",19 032,11,
,,,,,,,,,,,2018,1 440,18 720,13,
,,,,,,,,,,,2019,1 612,19 344,12,
,,,,,,,,,11,4,2017,1 612,9 672,6,
,,,,,,,,,,,2018,1 144,6 864,6,
,,,,,,,,,,,2019,1 950,15 600,8,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,1 924,23 088,12,
,,,,,,,,,,,2018,1 560,12 480,8,
,,,,,,,,,,,2019,1 560,1 560,1,
,33,signaling_and_security,1212,450,16,5,16,All Dates,1,1,2018,4 848,58 176,12,
,,,,,,,,,,,2019,7 676,46 056,6,
,,,,,,,,,2,1,2018,"5 117,333",46 056,9,
,,,,,,,,,,,2019,5 656,16 968,3,
,,,,,,,,,3,1,2018,"4 754,769",61 812,13,
,,,,,,,,,,,2019,7 272,36 360,5,
,,,,,,,,,,2,2018,8 484,25 452,3,
,,,,,,,,,,,2019,9 696,19 392,2,
,,,,,,,,,4,2,2018,5 454,76 356,14,
,,,,,,,,,,,2019,4 848,53 328,11,
,,,,,,,,,5,2,2017,7 878,63 024,8,
,,,,,,,,,,,2018,"6 817,5",109 080,16,
,,,,,,,,,,,2019,6 060,60 600,10,
,,,,,,,,,6,2,2017,"5 288,727",58 176,11,
,,,,,,,,,,,2018,4 848,14 544,3,
,,,,,,,,,,,2019,"4 501,714",31 512,7,
,,,,,,,,,,3,2017,"4 605,6",23 028,5,
,,,,,,,,,,,2018,4 848,9 696,2,
,,,,,,,,,,,2019,4 242,16 968,4,
,,,,,,,,,7,3,2017,6 363,76 356,12,
,,,,,,,,,,,2018,7 878,47 268,6,
,,,,,,,,,,,2019,5 757,92 112,16,
,,,,,,,,,8,3,2017,7 272,79 992,11,
,,,,,,,,,,,2018,5 757,69 084,12,
,,,,,,,,,,,2019,"5 873,538",76 356,13,
,,,,,,,,,9,3,2017,7 272,72 720,10,
,,,,,,,,,,,2018,"6 170,182",67 872,11,
,,,,,,,,,,,2019,5 656,33 936,6,
,,,,,,,,,,4,2017,6 060,18 180,3,
,,,,,,,,,,,2018,4 848,14 544,3,
,,,,,,,,,,,2019,6 363,25 452,4,
,,,,,,,,,10,4,2017,"5 619,273",61 812,11,
,,,,,,,,,,,2018,8 181,32 724,4,
,,,,,,,,,,,2019,"4 726,8",47 268,10,
,,,,,,,,,11,4,2017,5 454,76 356,14,




,,,,,,,,,,,2018,"5 817,6",58 176,10,
,,,,,,,,,,,2019,"7 618,286",106 656,14,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,9 696,9 696,1,
,,,,,,,,,,4,2017,"5 220,923",67 872,13,
,,,,,,,,,,,2018,"7 178,769",93 324,13,
,,,,,,,,,,,2019,10 908,10 908,1,
,34,air_conditioning,547,2000,32,51,16,All Dates,1,1,2018,3 282,32 820,10,
,,,,,,,,,,,2019,"2 096,833",12 581,6,
,,,,,,,,,2,1,2018,"4 034,125",32 273,8,
,,,,,,,,,,,2019,2 188,15 316,7,
,,,,,,,,,3,1,2018,3 829,30 632,8,
,,,,,,,,,,,2019,"3 172,6",31 726,10,
,,,,,,,,,,2,2018,3 282,9 846,3,
,,,,,,,,,,,2019,"4 102,5",8 205,2,
,,,,,,,,,4,2,2018,"3 350,375",26 803,8,
,,,,,,,,,,,2019,"3 063,2",30 632,10,
,,,,,,,,,5,2,2017,"2 613,444",23 521,9,
,,,,,,,,,,,2018,"3 063,2",15 316,5,
,,,,,,,,,,,2019,"2 945,385",38 290,13,
,,,,,,,,,6,2,2017,"2 461,5",9 846,4,
,,,,,,,,,,,2018,"3 438,286",24 068,7,
,,,,,,,,,,,2019,"3 431,182",37 743,11,
,,,,,,,,,,3,2017,3 829,3 829,1,
,,,,,,,,,,,2018,"1 823,333",5 470,3,
,,,,,,,,,,,2019,"3 464,333",10 393,3,
,,,,,,,,,7,3,2017,"3 487,125",55 794,16,
,,,,,,,,,,,2018,"2 509,765",42 666,17,
,,,,,,,,,,,2019,"2 529,875",20 239,8,
,,,,,,,,,8,3,2017,"2 969,429",20 786,7,
,,,,,,,,,,,2018,"3 221,222",28 991,9,
,,,,,,,,,,,2019,"3 182,546",35 008,11,
,,,,,,,,,9,3,2017,"3 646,667",10 940,3,
,,,,,,,,,,,2018,2 735,16 410,6,
,,,,,,,,,,,2019,2 188,13 128,6,
,,,,,,,,,,4,2017,"2 324,75",9 299,4,
,,,,,,,,,,,2018,4 376,13 128,3,
,,,,,,,,,,,2019,"2 109,857",14 769,7,
,,,,,,,,,10,4,2017,"2 431,111",21 880,9,
,,,,,,,,,,,2018,"2 666,625",21 333,8,
,,,,,,,,,,,2019,"3 099,667",27 897,9,
,,,,,,,,,11,4,2017,2 735,24 615,9,
,,,,,,,,,,,2018,"2 891,286",20 239,7,
,,,,,,,,,,,2019,"2 953,8",29 538,10,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,1 094,1 094,1,
,,,,,,,,,,4,2017,3 282,13 128,4,
,,,,,,,,,,,2018,"2 917,333",26 256,9,
,,,,,,,,,,,2019,4 376,4 376,1,
,35,consoles_games,303,250,21,7,15,All Dates,1,1,2018,"936,545",10 302,11,
,,,,,,,,,,,2019,"1 696,8",8 484,5,
,,,,,,,,,2,1,2018,"1 151,4",5 757,5,
,,,,,,,,,,,2019,"1 605,9",16 059,10,
,,,,,,,,,3,1,2018,1 212,8 484,7,
,,,,,,,,,,,2019,"1 601,571",11 211,7,
,,,,,,,,,,2,2018,,,,
,,,,,,,,,,,2019,"1 757,4",8 787,5,
,,,,,,,,,4,2,2018,"1 477,125",11 817,8,
,,,,,,,,,,,2019,"1 851,667",16 665,9,
,,,,,,,,,5,2,2017,"1 439,25",17 271,12,
,,,,,,,,,,,2018,"1 424,1",14 241,10,
,,,,,,,,,,,2019,"1 287,75",15 453,12,
,,,,,,,,,6,2,2017,"1 484,7",14 847,10,
,,,,,,,,,,,2018,"1 931,625",15 453,8,
,,,,,,,,,,,2019,"1 439,25",5 757,4,
,,,,,,,,,,3,2017,"1 666,5",3 333,2,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,,2019,909,2 727,3,
,,,,,,,,,7,3,2017,"976,333",8 787,9,
,,,,,,,,,,,2018,1 414,21 210,15,
,,,,,,,,,,,2019,"1 727,1",17 271,10,
,,,,,,,,,8,3,2017,"1 597,636",17 574,11,
,,,,,,,,,,,2018,"2 060,4",20 604,10,
,,,,,,,,,,,2019,"1 538,308",19 998,13,
,,,,,,,,,9,3,2017,"1 750,667",15 756,9,
,,,,,,,,,,,2018,"1 279,333",11 514,9,
,,,,,,,,,,,2019,2 424,9 696,4,
,,,,,,,,,,4,2017,,,,
,,,,,,,,,,,2018,303,303,1,
,,,,,,,,,,,2019,,,,
,,,,,,,,,10,4,2017,1 717,15 453,9,
,,,,,,,,,,,2018,"853,909",9 393,11,
,,,,,,,,,,,2019,"1 794,692",23 331,13,
,,,,,,,,,11,4,2017,"1 484,7",14 847,10,
,,,,,,,,,,,2018,"1 868,5",11 211,6,
,,,,,,,,,,,2019,"1 792,75",21 513,12,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,1 414,4 242,3,
,,,,,,,,,,4,2017,"1 851,667",16 665,9,
,,,,,,,,,,,2018,2 121,14 847,7,
,,,,,,,,,,,2019,1 212,2 424,2,
,36,books_general_interest,2913,1000,24,5,17,All Dates,1,1,2018,"15 212,333",136 911,9,




,,,,,,,,,,,2019,17 478,157 302,9,
,,,,,,,,,2,1,2018,"18 206,25",145 650,8,
,,,,,,,,,,,2019,"12 234,6",183 519,15,
,,,,,,,,,3,1,2018,12 623,151 476,12,
,,,,,,,,,,,2019,"7 282,5",29 130,4,
,,,,,,,,,,2,2018,17 478,52 434,3,
,,,,,,,,,,,2019,15 536,46 608,3,
,,,,,,,,,4,2,2018,"13 982,4",139 824,10,
,,,,,,,,,,,2019,16 507,148 563,9,
,,,,,,,,,5,2,2017,"19 298,625",154 389,8,
,,,,,,,,,,,2018,14 565,131 085,9,
,,,,,,,,,,,2019,"14 116,846",183 519,13,
,,,,,,,,,6,2,2017,"15 397,286",107 781,7,
,,,,,,,,,,,2018,14 565,116 520,8,
,,,,,,,,,,,2019,15 536,93 216,6,
,,,,,,,,,,3,2017,"16 021,5",64 086,4,
,,,,,,,,,,,2018,"13 108,5",52 434,4,
,,,,,,,,,,,2019,17 478,69 912,4,
,,,,,,,,,7,3,2017,"18 772,667",168 954,9,
,,,,,,,,,,,2018,"12 946,667",116 520,9,
,,,,,,,,,,,2019,"13 240,909",145 650,11,
,,,,,,,,,8,3,2017,"11 069,4",110 694,10,
,,,,,,,,,,,2018,"6 991,2",34 956,5,
,,,,,,,,,,,2019,"15 730,2",157 302,10,
,,,,,,,,,9,3,2017,"9 467,25",37 869,4,
,,,,,,,,,,,2018,"15 657,375",125 259,8,
,,,,,,,,,,,2019,16 507,148 563,9,
,,,,,,,,,,4,2017,13 594,40 782,3,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,,2019,20 391,61 173,3,
,,,,,,,,,10,4,2017,"16 385,625",131 085,8,
,,,,,,,,,,,2018,"16 853,786",235 953,14,
,,,,,,,,,,,2019,"16 749,75",133 998,8,
,,,,,,,,,11,4,2017,13 594,122 346,9,
,,,,,,,,,,,2018,"18 060,6",90 303,5,
,,,,,,,,,,,2019,"9 285,188",148 563,16,
,,,,,,,,,12,1,2017,,,,
,,,,,,,,,,,2018,,,,
,,,,,,,,,,4,2017,"15 605,357",218 475,14,
,,,,,,,,,,,2018,"21 223,286",148 563,7,
,,,,,,,,,,,2019,,,,
,37,costruction_tools_tools,369,400,16,2,11,All Dates,1,1,2018,"1 317,857",9 225,7,
,,,,,,,,,,,2019,1 517,13 653,9,
,,,,,,,,,2,1,2018,"1 525,2",22 878,15,
,,,,,,,,,,,2019,1 763,15 867,9,
,,,,,,,,,3,1,2018,"2 361,6",11 808,5,
,,,,,,,,,,,2019,"2 029,5",16 236,8,
,,,,,,,,,,2,2018,"553,5",1 107,2,
,,,,,,,,,,,2019,"553,5",1 107,2,
,,,,,,,,,4,2,2018,2 009,18 081,9,
,,,,,,,,,,,2019,1 845,16 605,9,
,,,,,,,,,5,2,2017,1 476,8 856,6,
,,,,,,,,,,,2018,"1 589,539",20 664,13,
